product_name,product_code,grade,formula,molar_mass,image_url,pakaging,price
ABSCISIC ACID,0101221-100MG,99%,H1B1,A1D1C4,,100MG," 3,475.00 "
ABSCISIC ACID,0101221-500MG,99%,H1B2,A1D1C5,,500MG," 16,500.00 "
Acenaphthene,0101267-100G,97% puriss for synthesis also [83-32-9],H1B3,A1D1C6,,100G, 550.00 
Acenaphthene,0101267-500G,97% puriss for synthesis also [83-32-9],H1B4,A1D1C7,,500G," 1,550.00 "
ACENAPHTHENEQUINONE,0101131-25G,97% puriss for synthesis,H1B5,A1D1C8,,25G," 2,600.00 "
ACETAMIDE,010174-500G,98.5% puriss for synthesis,H1B6,A1D1C9,,500G, 630.00 
ACETAMIDINE HCL,0101236-25G,99% puriss for synthesis [124-42-5],H1B7,A1D1C10,,25G, 475.00 
ACETAMIDINE HCL,0101236-100G,99% puriss for synthesis [124-42-5],H1B8,A1D1C11,,100G," 1,800.00 "
ACETAMIDINE HCL,0101236-500G,99% puriss for synthesis [124-42-5],H1B9,A1D1C12,,500G," 8,500.00 "
3-ACETAMIDOBENZOIC ACID,010186-1G,98% puriss for synthesis,H1B10,A1D1C13,,1G, 660.00 
3-ACETAMIDOBENZOIC ACID,010186-5G,98% puriss for synthesis,H1B11,A1D1C14,,5G," 2,950.00 "
4-ACETAMIDOBENZOIC ACID,010187-10G,98% (m.p. 113°-115° C) puriss for synthesis,H1B12,A1D1C15,,10G, 500.00 
4-ACETAMIDOBENZOIC ACID,010187-50G,98% (m.p. 113°-115° C) puriss for synthesis,H1B13,A1D1C16,,50G," 1,800.00 "
ACETANILIDE,010124-500G,98% puriss for synthesis,H1B14,A1D1C17,,500G, 650.00 
ACETIC ACID GLACIAL aldehyde free,010103-1000ML,AR,H1B15,A1D1C18,,1000ML, 500.00 
ACETIC ACID,070167-1000ML,HPLC,H1B16,A1D1C19,,1000ML, 800.00 
"ACETIC ACID GLACIAL ACS,",110101-500ML,ISO,H1B17,A1D1C20,,500ML, 450.00 
ACETIC HYDRAZIDE,0101287-25G,96% puriss for synthesis [1068-57-1],H1B18,A1D1C21,,25G," 1,900.00 "
ACETIC HYDRAZIDE,0101287-100G,96% puriss for synthesis [1068-57-1],H1B19,A1D1C22,,100G," 6,200.00 "
1-ACETONAPHTHONE,010119-50G,"95% (1-Acetyl Naphthalene, Methyl-1-Naphthyl Ketone) puriss for synthesis",H1B20,A1D1C23,,50G, 500.00 
1-ACETONAPHTHONE,010119-250G,"95% (1-Acetyl Naphthalene, Methyl-1-Naphthyl Ketone) puriss for synthesis",H1B21,A1D1C24,,250G," 1,700.00 "
ACETONE,0101154-2500ML,99% puriss AR,H1B22,A1D1C25,,2500ML," 1,000.00 "
ACETONE,060105-1000ML,99% EL Grade,H1B23,A1D1C26,,1000ML, 550.00 
ACETONE,060105-2500ML,99% EL Grade,H1B24,A1D1C27,,2500ML," 1,350.00 "
ACETONE,070106-1000ML,HPLC,H1B25,A1D1C28,,1000ML, 725.00 
ACETONE,070106-2500ML,HPLC,H1B26,A1D1C29,,2500ML," 1,550.00 "
ACETONE,050104-1000ML,UV SPECTROSCOPY,H1B27,A1D1C30,,1000ML, 750.00 
"ACETONE ACS, ISO",110102-500ML,ISO,H1B28,A1D1C31,,500ML, 600.00 
Acetone,0101268-250ML,"Residual solvent, Impurity profile & Headspace analysis. Used as a GC Grade solvent",H1B29,A1D1C32,,250ML, 525.00 
"1,3-ACETONEDIBROMIDE DIMETHYLACETAL (1,3-Dibromo-2,2-dimethoxypropane)",0101309-1G,99% [22094-18-4],H1B30,A1D1C33,,1G," 1,800.00 "
"1,3-ACETONEDIBROMIDE DIMETHYLACETAL (1,3-Dibromo-2,2-dimethoxypropane)",0101309-5G,99% [22094-18-4],H1B31,A1D1C34,,5G," 3,000.00 "
"1,3-ACETONEDIBROMIDE DIMETHYLACETAL (1,3-Dibromo-2,2-dimethoxypropane)",0101309-25G,99% [22094-18-4],H1B32,A1D1C35,,25G," 12,000.00 "
ACETONITRILE,010171- 1000 ML,99% puriss for synthesis,H1B33,A1D1C36,,1000 ML, 600.00 
ACETONITRILE,010107-500ML,99.5% (GC) puriss AR,H1B34,A1D1C37,,500ML, 370.00 
ACETONITRILE,010107-2500ML,99.5% (GC) puriss AR,H1B35,A1D1C38,,2500ML," 1,400.00 "
ACETONITRILE,070101-1000ML,HPLC,H1B36,A1D1C39,,1000ML, 720.00 
ACETONITRILE,070101-2500ML,HPLC,H1B37,A1D1C40,,2500ML," 1,700.00 "
ACETONITRILE,0701190-1000ML,HPLC Gradient controlled,H1B38,A1D1C41,,1000ML," 1,250.00 "
ACETONITRILE,1001191-1000ML,Genetic Engineering.,H1B39,A1D1C42,,1000ML," 3,000.00 "
ACETONITRILE,050102-1000ML,UV SPECTROSCOPY,H1B40,A1D1C43,,1000ML, 750.00 
"ACETONITRILE ACS, ISO",110103-500ML,ISO,H1B41,A1D1C44,,500ML, 600.00 
